Complexity,Merge-Ordenado,Merge-Desordenado,Quick-Ordenado,Quick-Desordenado,Cycle-Ordenado,Cycle-Desordenado,Radix-Ordenado,Radix-Desordenado,Gnome-Ordenado,Gnome-Desordenado
586,0.001433,0.00207,0.00239,0.001461,0.001048,0.001691,0.000273,0.00014,0.000018,0.002871
592,0.001734,0.002253,0.002454,0.000301,0.0011,0.001729,0.00026,0.000178,0.000018,0.002866
598,0.001941,0.002016,0.002458,0.000239,0.001113,0.001782,0.000275,0.000138,0.000018,0.003092
604,0.002103,0.00192,0.002553,0.000249,0.000807,0.001809,0.0003,0.000143,0.000018,0.003138
610,0.001598,0.00203,0.00345,0.000308,0.00089,0.001844,0.00028,0.000167,0.000018,0.003213
616,0.001747,0.002121,0.002743,0.0003,0.000837,0.001862,0.000242,0.00015,0.000018,0.003337
622,0.001624,0.002143,0.002687,0.000238,0.000855,0.002249,0.000281,0.000164,0.000019,0.003333
628,0.001727,0.002196,0.002793,0.000305,0.000875,0.002317,0.000243,0.000148,0.000018,0.003635
634,0.00238,0.002167,0.00294,0.000329,0.000888,0.002385,0.000303,0.000169,0.000026,0.003966
640,0.002248,0.002688,0.00306,0.00031,0.000923,0.002406,0.000362,0.000156,0.00003,0.003528
646,0.001876,0.002639,0.003117,0.000321,0.000938,0.002443,0.00031,0.00017,0.000031,0.003742
652,0.000768,0.002166,0.003188,0.000279,0.00094,0.002509,0.00029,0.000149,0.00003,0.003358
658,0.000783,0.002108,0.003265,0.000329,0.001042,0.002602,0.000275,0.000175,0.000025,0.004152
664,0.000635,0.002104,0.003374,0.000329,0.001062,0.002705,0.000178,0.000177,0.000024,0.004364
670,0.000612,0.00217,0.004285,0.000323,0.000988,0.002728,0.000393,0.000191,0.000025,0.004397
676,0.000701,0.002612,0.003422,0.000336,0.00101,0.002762,0.000371,0.000154,0.000024,0.006596
682,0.000698,0.002291,0.003128,0.00036,0.001128,0.002792,0.00061,0.00017,0.000025,0.004471
688,0.000639,0.002119,0.003448,0.000348,0.001042,0.003141,0.000417,0.00015,0.000024,0.004046
694,0.000645,0.002004,0.003719,0.000349,0.00105,0.003262,0.00046,0.000171,0.000026,0.004145
700,0.000662,0.002024,0.003495,0.000361,0.001069,0.00297,0.000288,0.000164,0.000024,0.004205
706,0.00065,0.002061,0.003444,0.000357,0.001109,0.003498,0.000489,0.000162,0.000025,0.004309
712,0.000614,0.002142,0.003565,0.000342,0.001111,0.00311,0.00042,0.000156,0.000024,0.005181
718,0.000649,0.002156,0.003724,0.000347,0.001129,0.00311,0.000399,0.000157,0.000025,0.005525
724,0.000649,0.002239,0.006886,0.000344,0.001145,0.003145,0.000326,0.000163,0.000024,0.00457
730,0.000661,0.002508,0.006789,0.000366,0.001159,0.00325,0.00054,0.00016,0.000025,0.0062
736,0.000653,0.002347,0.005209,0.00039,0.001183,0.003322,0.000516,0.000161,0.000024,0.006193
742,0.000655,0.001227,0.00456,0.000398,0.001195,0.003338,0.000516,0.000157,0.000024,0.005814
748,0.000657,0.000558,0.003668,0.000409,0.001213,0.003344,0.000411,0.000158,0.000024,0.005817
754,0.000668,0.000547,0.004705,0.000419,0.001242,0.003986,0.000423,0.00015,0.000024,0.004598
760,0.000681,0.000648,0.005968,0.00041,0.001265,0.003016,0.000417,0.000155,0.000024,0.007589
766,0.000686,0.000557,0.004544,0.000419,0.001294,0.002911,0.000519,0.000167,0.000024,0.005047
772,0.000555,0.000543,0.003846,0.000383,0.001325,0.002953,0.000416,0.000171,0.000067,0.004623
778,0.000534,0.000562,0.004414,0.000382,0.001357,0.003023,0.000507,0.000161,0.000024,0.004771
784,0.000476,0.000645,0.003955,0.000322,0.001381,0.00305,0.000646,0.000153,0.000052,0.004831
790,0.000457,0.000592,0.004019,0.000314,0.001407,0.003203,0.000344,0.000156,0.000024,0.004909
796,0.00046,0.000617,0.004516,0.000323,0.001431,0.003232,0.000481,0.000158,0.000065,0.005048
802,0.000467,0.000578,0.006022,0.000315,0.001447,0.003465,0.000176,0.000185,0.00005,0.006066
808,0.000425,0.000591,0.004827,0.000313,0.001461,0.003839,0.000159,0.00017,0.000045,0.006096
814,0.000645,0.000602,0.005675,0.000414,0.001484,0.003963,0.000161,0.000163,0.000101,0.006122
820,0.000752,0.000648,0.006027,0.000426,0.001518,0.003487,0.000163,0.000168,0.000073,0.005881
826,0.000832,0.000696,0.005398,0.000431,0.001536,0.003443,0.000168,0.000164,0.000064,0.006799
832,0.000718,0.000645,0.005453,0.000433,0.00154,0.004398,0.000166,0.000168,0.00009,0.007239
